Index A,Index B,Mean A,Mean B,Mean Diff,Wilcoxon stat,p-value,rank,adjusted_alpha,Significant
Gap Statistic,Hartigan,0.5344827586206896,0.034482758620689655,0.49999999999999994,0.0,7.237829871739995e-08,1,0.0011111111111111111,True
Hartigan,CBV,0.034482758620689655,0.5172413793103449,-0.4827586206896552,0.0,1.2131545083660686e-07,2,0.0011363636363636365,True
CH Index,Hartigan,0.4482758620689655,0.034482758620689655,0.41379310344827586,0.0,9.633570086430965e-07,3,0.0011627906976744186,True
Silhouette,Hartigan,0.3793103448275862,0.034482758620689655,0.3448275862068965,0.0,7.74421643104407e-06,4,0.0011904761904761906,True
Gap Statistic,McClain-Rao,0.5344827586206896,0.1206896551724138,0.4137931034482758,46.5,1.177133909761497e-05,5,0.0012195121951219512,True
McClain-Rao,CBV,0.1206896551724138,0.5172413793103449,-0.39655172413793105,64.0,3.6131125499798315e-05,6,0.00125,True
Hartigan,KL Index,0.034482758620689655,0.3275862068965517,-0.29310344827586204,0.0,3.737981840170154e-05,7,0.001282051282051282,True
Hartigan,Jump Statistic,0.034482758620689655,0.3275862068965517,-0.29310344827586204,10.0,9.616588268883476e-05,8,0.0013157894736842105,True
Davies-Bouldin,Hartigan,0.29310344827586204,0.034482758620689655,0.2586206896551724,0.0,0.00010751117672950055,9,0.0013513513513513514,True
CH Index,McClain-Rao,0.4482758620689655,0.1206896551724138,0.3275862068965517,56.0,0.0002556308678365145,10,0.001388888888888889,True
Dunn Index,CBV,0.25862068965517243,0.5172413793103449,-0.25862068965517243,9.0,0.0002747267638079423,11,0.0014285714285714286,True
Dunn Index,Hartigan,0.25862068965517243,0.034482758620689655,0.22413793103448276,0.0,0.0003114909767673833,12,0.0014705882352941176,True
Gap Statistic,Dunn Index,0.5344827586206896,0.25862068965517243,0.2758620689655172,21.0,0.0003466193511346668,13,0.0015151515151515152,True
Davies-Bouldin,CBV,0.29310344827586204,0.5172413793103449,-0.22413793103448282,8.0,0.0007891129890156299,14,0.0015625,True
Davies-Bouldin,Gap Statistic,0.29310344827586204,0.5344827586206896,-0.24137931034482757,19.0,0.000967428450247743,15,0.0016129032258064516,True
Gap Statistic,Jump Statistic,0.5344827586206896,0.3275862068965517,0.2068965517241379,7.5,0.0013406411172294783,16,0.0016666666666666668,True
Gap Statistic,KL Index,0.5344827586206896,0.3275862068965517,0.2068965517241379,7.5,0.0013406411172294783,17,0.001724137931034483,True
Silhouette,McClain-Rao,0.3793103448275862,0.1206896551724138,0.2586206896551724,48.0,0.0017617019214338067,18,0.0017857142857142859,True
CH Index,Dunn Index,0.4482758620689655,0.25862068965517243,0.1896551724137931,7.0,0.0022819372533154484,19,0.001851851851851852,False
Jump Statistic,McClain-Rao,0.3275862068965517,0.1206896551724138,0.2068965517241379,28.5,0.0046777349810472576,20,0.0019230769230769232,False
KL Index,McClain-Rao,0.3275862068965517,0.1206896551724138,0.2068965517241379,42.0,0.007290358091535638,21,0.002,False
KL Index,CBV,0.3275862068965517,0.5172413793103449,-0.18965517241379315,40.0,0.011616891434158364,22,0.0020833333333333333,False
CH Index,Davies-Bouldin,0.4482758620689655,0.29310344827586204,0.15517241379310348,14.0,0.012554918596966547,23,0.002173913043478261,False
Jump Statistic,CBV,0.3275862068965517,0.5172413793103449,-0.18965517241379315,55.0,0.016377308341494895,24,0.002272727272727273,False
Davies-Bouldin,McClain-Rao,0.29310344827586204,0.1206896551724138,0.17241379310344823,38.0,0.018422125454099,25,0.002380952380952381,False
Silhouette,Dunn Index,0.3793103448275862,0.25862068965517243,0.12068965517241376,5.0,0.019630657257290667,26,0.0025,False
Silhouette,Gap Statistic,0.3793103448275862,0.5344827586206896,-0.15517241379310343,24.0,0.02013675155034634,27,0.002631578947368421,False
Silhouette,CBV,0.3793103448275862,0.5172413793103449,-0.13793103448275867,13.0,0.020921335337794014,28,0.002777777777777778,False
Hartigan,McClain-Rao,0.034482758620689655,0.1206896551724138,-0.08620689655172414,0.0,0.025347318677468252,29,0.0029411764705882353,False
Silhouette,Davies-Bouldin,0.3793103448275862,0.29310344827586204,0.08620689655172414,0.0,0.025347318677468252,30,0.003125,False
CH Index,KL Index,0.4482758620689655,0.3275862068965517,0.12068965517241381,12.0,0.034808478811867126,31,0.0033333333333333335,False
CH Index,Jump Statistic,0.4482758620689655,0.3275862068965517,0.12068965517241381,12.0,0.034808478811867126,32,0.0035714285714285718,False
Dunn Index,McClain-Rao,0.25862068965517243,0.1206896551724138,0.13793103448275862,47.5,0.05934643879191985,33,0.0038461538461538464,False
CH Index,Gap Statistic,0.4482758620689655,0.5344827586206896,-0.08620689655172409,18.0,0.13166801602281422,34,0.004166666666666667,False
Silhouette,CH Index,0.3793103448275862,0.4482758620689655,-0.06896551724137934,16.5,0.2059032107320684,35,0.004545454545454546,False
Dunn Index,KL Index,0.25862068965517243,0.3275862068965517,-0.06896551724137928,26.0,0.24821307898992362,36,0.005,False
Dunn Index,Jump Statistic,0.25862068965517243,0.3275862068965517,-0.06896551724137928,37.5,0.28504940740261275,37,0.005555555555555556,False
CH Index,CBV,0.4482758620689655,0.5172413793103449,-0.06896551724137934,51.0,0.31731050786291415,38,0.00625,False
Silhouette,Jump Statistic,0.3793103448275862,0.3275862068965517,0.051724137931034475,24.0,0.36571229628151325,39,0.0071428571428571435,False
Silhouette,KL Index,0.3793103448275862,0.3275862068965517,0.051724137931034475,24.0,0.36571229628151325,40,0.008333333333333333,False
Davies-Bouldin,Jump Statistic,0.29310344827586204,0.3275862068965517,-0.03448275862068967,13.5,0.47950012218695337,41,0.01,False
Davies-Bouldin,Dunn Index,0.29310344827586204,0.25862068965517243,0.03448275862068961,13.5,0.47950012218695337,42,0.0125,False
Davies-Bouldin,KL Index,0.29310344827586204,0.3275862068965517,-0.03448275862068967,13.5,0.47950012218695337,43,0.016666666666666666,False
Gap Statistic,CBV,0.5344827586206896,0.5172413793103449,0.01724137931034475,72.0,0.8083651559145103,44,0.025,False
KL Index,Jump Statistic,0.3275862068965517,0.3275862068965517,0.0,18.0,1.0,45,0.05,False
