dataset,k_true,seed,GMM_BIC,bic_correct
blobs_k3_d2_std0.3,3,42,2,0
blobs_k3_d2_std0.5,3,42,2,0
blobs_k3_d2_std1.0,3,42,2,0
blobs_k5_d2_std0.5,5,42,2,0
blobs_k5_d2_std1.0,5,42,2,0
blobs_k8_d2_std0.5,8,42,2,0
blobs_k3_d2_std1.5,3,42,2,0
blobs_k3_d2_std2.0,3,42,2,0
blobs_k3_d2_std2.5,3,42,2,0
blobs_k5_d2_std1.5,5,42,2,0
blobs_k5_d2_std2.0,5,42,2,0
classif_k2_info2_noise2,2,42,2,1
classif_k2_info2_noise5,2,42,2,1
classif_k2_info2_noise10,2,42,2,1
classif_k3_info3_noise3,3,42,3,1
classif_k3_info3_noise8,3,42,3,1
moons_noise0.05,2,42,2,1
moons_noise0.1,2,42,2,1
circles_factor0.3_noise0.05,2,42,2,1
circles_factor0.3_noise0.1,2,42,2,1
circles_factor0.5_noise0.05,2,42,2,1
circles_factor0.5_noise0.1,2,42,2,1
blobs_k3_d5_std1.0,3,42,3,1
blobs_k3_d30_std1.0,3,42,7,0
blobs_k3_d50_std1.0,3,42,10,0
aniso_k3_d2_stretch3.0,3,42,2,0
aniso_k3_d2_stretch5.0,3,42,2,0
aniso_k5_d2_stretch3.0,5,42,2,0
imbal_k3_d2_ratio3.0,3,42,2,0
imbal_k3_d2_ratio5.0,3,42,2,0
imbal_k5_d2_ratio3.0,5,42,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,42,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,42,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,42,2,0
blobs_k10_d2_std0.5,10,42,2,0
blobs_k12_d2_std0.5,12,42,2,0
blobs_k15_d2_std0.5,15,42,2,0
classif_k3_info2_noise98,3,42,2,0
classif_k3_info5_noise95,3,42,2,0
classif_k5_info5_noise195,5,42,2,0
moons_noise0.15,2,42,2,1
circles_factor0.5_noise0.15,2,42,2,1
smalln_k3_n50,3,42,2,0
smalln_k3_n100,3,42,2,0
wine,3,42,2,0
iris,3,42,2,0
"digits_[0, 1]",2,42,10,0
"digits_[0, 1, 2]",3,42,10,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,42,10,1
breast_cancer,2,42,2,1
seeds,3,42,3,1
glass,6,42,5,0
yeast,10,42,6,0
ecoli,8,42,4,0
segmentation,7,42,9,0
olivetti_faces,40,42,2,0
parkinsons,2,42,2,1
ionosphere,2,42,7,0
blobs_k3_d2_std0.3,3,73,2,0
blobs_k3_d2_std0.5,3,73,2,0
blobs_k3_d2_std1.0,3,73,2,0
blobs_k5_d2_std0.5,5,73,2,0
blobs_k5_d2_std1.0,5,73,2,0
blobs_k8_d2_std0.5,8,73,2,0
blobs_k3_d2_std1.5,3,73,2,0
blobs_k3_d2_std2.0,3,73,2,0
blobs_k3_d2_std2.5,3,73,2,0
blobs_k5_d2_std1.5,5,73,2,0
blobs_k5_d2_std2.0,5,73,2,0
classif_k2_info2_noise2,2,73,2,1
classif_k2_info2_noise5,2,73,2,1
classif_k2_info2_noise10,2,73,2,1
classif_k3_info3_noise3,3,73,3,1
classif_k3_info3_noise8,3,73,3,1
moons_noise0.05,2,73,2,1
moons_noise0.1,2,73,2,1
circles_factor0.3_noise0.05,2,73,2,1
circles_factor0.3_noise0.1,2,73,2,1
circles_factor0.5_noise0.05,2,73,2,1
circles_factor0.5_noise0.1,2,73,2,1
blobs_k3_d5_std1.0,3,73,3,1
blobs_k3_d30_std1.0,3,73,2,0
blobs_k3_d50_std1.0,3,73,10,0
aniso_k3_d2_stretch3.0,3,73,2,0
aniso_k3_d2_stretch5.0,3,73,2,0
aniso_k5_d2_stretch3.0,5,73,2,0
imbal_k3_d2_ratio3.0,3,73,2,0
imbal_k3_d2_ratio5.0,3,73,2,0
imbal_k5_d2_ratio3.0,5,73,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,73,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,73,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,73,2,0
blobs_k10_d2_std0.5,10,73,2,0
blobs_k12_d2_std0.5,12,73,2,0
blobs_k15_d2_std0.5,15,73,2,0
classif_k3_info2_noise98,3,73,2,0
classif_k3_info5_noise95,3,73,2,0
classif_k5_info5_noise195,5,73,2,0
moons_noise0.15,2,73,2,1
circles_factor0.5_noise0.15,2,73,2,1
smalln_k3_n50,3,73,2,0
smalln_k3_n100,3,73,2,0
wine,3,73,2,0
iris,3,73,2,0
"digits_[0, 1]",2,73,10,0
"digits_[0, 1, 2]",3,73,10,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,73,10,1
breast_cancer,2,73,2,1
seeds,3,73,3,1
glass,6,73,5,0
yeast,10,73,6,0
ecoli,8,73,4,0
segmentation,7,73,10,0
olivetti_faces,40,73,2,0
parkinsons,2,73,2,1
ionosphere,2,73,3,0
blobs_k3_d2_std0.3,3,123,2,0
blobs_k3_d2_std0.5,3,123,2,0
blobs_k3_d2_std1.0,3,123,2,0
blobs_k5_d2_std0.5,5,123,2,0
blobs_k5_d2_std1.0,5,123,2,0
blobs_k8_d2_std0.5,8,123,2,0
blobs_k3_d2_std1.5,3,123,2,0
blobs_k3_d2_std2.0,3,123,2,0
blobs_k3_d2_std2.5,3,123,2,0
blobs_k5_d2_std1.5,5,123,2,0
blobs_k5_d2_std2.0,5,123,2,0
classif_k2_info2_noise2,2,123,2,1
classif_k2_info2_noise5,2,123,2,1
classif_k2_info2_noise10,2,123,2,1
classif_k3_info3_noise3,3,123,3,1
classif_k3_info3_noise8,3,123,3,1
moons_noise0.05,2,123,2,1
moons_noise0.1,2,123,2,1
circles_factor0.3_noise0.05,2,123,2,1
circles_factor0.3_noise0.1,2,123,2,1
circles_factor0.5_noise0.05,2,123,2,1
circles_factor0.5_noise0.1,2,123,2,1
blobs_k3_d5_std1.0,3,123,3,1
blobs_k3_d30_std1.0,3,123,2,0
blobs_k3_d50_std1.0,3,123,10,0
aniso_k3_d2_stretch3.0,3,123,2,0
aniso_k3_d2_stretch5.0,3,123,2,0
aniso_k5_d2_stretch3.0,5,123,2,0
imbal_k3_d2_ratio3.0,3,123,2,0
imbal_k3_d2_ratio5.0,3,123,2,0
imbal_k5_d2_ratio3.0,5,123,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,123,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,123,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,123,2,0
blobs_k10_d2_std0.5,10,123,2,0
blobs_k12_d2_std0.5,12,123,2,0
blobs_k15_d2_std0.5,15,123,2,0
classif_k3_info2_noise98,3,123,2,0
classif_k3_info5_noise95,3,123,2,0
classif_k5_info5_noise195,5,123,2,0
moons_noise0.15,2,123,2,1
circles_factor0.5_noise0.15,2,123,2,1
smalln_k3_n50,3,123,2,0
smalln_k3_n100,3,123,2,0
wine,3,123,2,0
iris,3,123,2,0
"digits_[0, 1]",2,123,10,0
"digits_[0, 1, 2]",3,123,10,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,123,9,0
breast_cancer,2,123,2,1
seeds,3,123,3,1
glass,6,123,7,0
yeast,10,123,7,0
ecoli,8,123,5,0
segmentation,7,123,10,0
olivetti_faces,40,123,2,0
parkinsons,2,123,2,1
ionosphere,2,123,3,0
blobs_k3_d2_std0.3,3,256,2,0
blobs_k3_d2_std0.5,3,256,2,0
blobs_k3_d2_std1.0,3,256,2,0
blobs_k5_d2_std0.5,5,256,2,0
blobs_k5_d2_std1.0,5,256,2,0
blobs_k8_d2_std0.5,8,256,2,0
blobs_k3_d2_std1.5,3,256,2,0
blobs_k3_d2_std2.0,3,256,2,0
blobs_k3_d2_std2.5,3,256,2,0
blobs_k5_d2_std1.5,5,256,2,0
blobs_k5_d2_std2.0,5,256,2,0
classif_k2_info2_noise2,2,256,2,1
classif_k2_info2_noise5,2,256,2,1
classif_k2_info2_noise10,2,256,2,1
classif_k3_info3_noise3,3,256,3,1
classif_k3_info3_noise8,3,256,3,1
moons_noise0.05,2,256,2,1
moons_noise0.1,2,256,2,1
circles_factor0.3_noise0.05,2,256,2,1
circles_factor0.3_noise0.1,2,256,2,1
circles_factor0.5_noise0.05,2,256,2,1
circles_factor0.5_noise0.1,2,256,2,1
blobs_k3_d5_std1.0,3,256,3,1
blobs_k3_d30_std1.0,3,256,2,0
blobs_k3_d50_std1.0,3,256,10,0
aniso_k3_d2_stretch3.0,3,256,2,0
aniso_k3_d2_stretch5.0,3,256,2,0
aniso_k5_d2_stretch3.0,5,256,2,0
imbal_k3_d2_ratio3.0,3,256,2,0
imbal_k3_d2_ratio5.0,3,256,2,0
imbal_k5_d2_ratio3.0,5,256,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,256,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,256,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,256,2,0
blobs_k10_d2_std0.5,10,256,2,0
blobs_k12_d2_std0.5,12,256,2,0
blobs_k15_d2_std0.5,15,256,2,0
classif_k3_info2_noise98,3,256,2,0
classif_k3_info5_noise95,3,256,2,0
classif_k5_info5_noise195,5,256,2,0
moons_noise0.15,2,256,2,1
circles_factor0.5_noise0.15,2,256,2,1
smalln_k3_n50,3,256,2,0
smalln_k3_n100,3,256,2,0
wine,3,256,2,0
iris,3,256,2,0
"digits_[0, 1]",2,256,10,0
"digits_[0, 1, 2]",3,256,10,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,256,10,1
breast_cancer,2,256,2,1
seeds,3,256,3,1
glass,6,256,9,0
yeast,10,256,6,0
ecoli,8,256,5,0
segmentation,7,256,10,0
olivetti_faces,40,256,2,0
parkinsons,2,256,2,1
ionosphere,2,256,3,0
blobs_k3_d2_std0.3,3,999,2,0
blobs_k3_d2_std0.5,3,999,2,0
blobs_k3_d2_std1.0,3,999,2,0
blobs_k5_d2_std0.5,5,999,2,0
blobs_k5_d2_std1.0,5,999,2,0
blobs_k8_d2_std0.5,8,999,2,0
blobs_k3_d2_std1.5,3,999,2,0
blobs_k3_d2_std2.0,3,999,2,0
blobs_k3_d2_std2.5,3,999,2,0
blobs_k5_d2_std1.5,5,999,2,0
blobs_k5_d2_std2.0,5,999,2,0
classif_k2_info2_noise2,2,999,2,1
classif_k2_info2_noise5,2,999,2,1
classif_k2_info2_noise10,2,999,2,1
classif_k3_info3_noise3,3,999,3,1
classif_k3_info3_noise8,3,999,3,1
moons_noise0.05,2,999,2,1
moons_noise0.1,2,999,2,1
circles_factor0.3_noise0.05,2,999,2,1
circles_factor0.3_noise0.1,2,999,2,1
circles_factor0.5_noise0.05,2,999,2,1
circles_factor0.5_noise0.1,2,999,2,1
blobs_k3_d5_std1.0,3,999,3,1
blobs_k3_d30_std1.0,3,999,2,0
blobs_k3_d50_std1.0,3,999,9,0
aniso_k3_d2_stretch3.0,3,999,2,0
aniso_k3_d2_stretch5.0,3,999,2,0
aniso_k5_d2_stretch3.0,5,999,2,0
imbal_k3_d2_ratio3.0,3,999,2,0
imbal_k3_d2_ratio5.0,3,999,2,0
imbal_k5_d2_ratio3.0,5,999,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,999,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,999,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,999,2,0
blobs_k10_d2_std0.5,10,999,2,0
blobs_k12_d2_std0.5,12,999,2,0
blobs_k15_d2_std0.5,15,999,2,0
classif_k3_info2_noise98,3,999,2,0
classif_k3_info5_noise95,3,999,2,0
classif_k5_info5_noise195,5,999,2,0
moons_noise0.15,2,999,2,1
circles_factor0.5_noise0.15,2,999,2,1
smalln_k3_n50,3,999,2,0
smalln_k3_n100,3,999,2,0
wine,3,999,2,0
iris,3,999,2,0
"digits_[0, 1]",2,999,10,0
"digits_[0, 1, 2]",3,999,10,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,999,10,1
breast_cancer,2,999,2,1
seeds,3,999,3,1
glass,6,999,9,0
yeast,10,999,6,0
ecoli,8,999,4,0
segmentation,7,999,8,0
olivetti_faces,40,999,2,0
parkinsons,2,999,2,1
ionosphere,2,999,3,0
